personid,pageid,name,state,district,uniques_total,uniques_known,uniques_indistrict,posts_total,posts_known,posts_indistrict,comments_total,comments_known,comments_indistrict,postlikes_total,postlikes_known,postlikes_indistrict
412437,145764842143763,Government official,"Rep. Bill Huizenga [R, MI-2]",MI,2,399,8,0,194,9,0,299,0,0,857,28,0
412422,186221644739359,Government official,"Rep. Randy Hultgren [R, IL-14]",IL,14,309,3,2,287,1,1,469,0,0,780,3,2
412283,79072979038,Government official,"Rep. Duncan Hunter [R, CA-52]",CA,52,403,12,1,291,11,0,263,1,0,535,47,3
412484,120068161395562,Government official,"Rep. Robert Hurt [R, VA-5]",VA,5,299,7,2,211,6,1,386,5,5,817,15,1
300054,110827655618837,Government organization,"Sen. Kay Hutchison [R, TX]",TX,,389,12,9,225,28,26,337,9,7,653,13,6
300055,55018309421,Government official,"Sen. James Inhofe [R, OK]",OK,,386,10,8,233,3,3,306,2,2,543,10,4
400193,6227578465,Politician,"Rep. Jay Inslee [D, WA-1]",WA,1,548,12,3,357,15,2,137,1,1,449,66,2
400194,86611900672,Politician,"Sen. John Isakson [R, GA]",GA,,540,7,5,2,0,0,240,8,7,644,2,1
400198,16250110021,Government official,"Rep. Jesse Jackson [D, IL-2]",IL,2,250,2,0,1,0,0,125,0,0,305,5,0
400199,169479190984,Politician,"Rep. Sheila Jackson-Lee [D, TX-18]",TX,18,249,8,0,0,0,0,114,7,0,306,11,0
412284,6974973662,Government official,"Rep. Lynn Jenkins [R, KS-2]",KS,2,345,5,2,243,3,0,344,0,0,700,13,2
412320,399357233834,Government official,"Sen. Mike Johanns [R, NE]",NE,,492,7,4,3,0,0,504,34,32,1231,15,14
412460,170477096312258,Government official,"Rep. Bill Johnson [R, OH-6]",OH,6,196,2,1,1,0,0,282,3,3,613,1,0
